年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-2,星期五,15,15:00~16:00,77.61571428571428,15.089166666666666,62.52654761904761
113-2,星期五,16,16:00~17:00,63.86846153846154,19.32076923076923,44.54769230769231
113-2,星期五,17,17:00~18:00,64.78071428571427,15.033846153846152,49.74686813186811
114-1,星期一,7,07:00~08:00,27.014666666666667,14.011538461538462,13.003128205128204
114-1,星期一,8,08:00~09:00,31.927333333333333,18.14538461538461,13.781948717948723
114-1,星期一,9,09:00~10:00,65.51799999999999,23.468461538461536,42.04953846153845
114-1,星期一,10,10:00~11:00,83.47599999999998,24.26384615384615,59.21215384615384
114-1,星期一,11,11:00~12:00,86.95800000000003,29.70384615384615,57.254153846153876
114-1,星期一,12,12:00~13:00,87.90866666666668,31.11,56.798666666666676
114-1,星期一,13,13:00~14:00,92.48,24.340769230769236,68.13923076923076
114-1,星期一,14,14:00~15:00,98.58333333333331,19.536666666666665,79.04666666666665
114-1,星期一,15,15:00~16:00,102.53266666666669,19.8475,82.68516666666669
114-1,星期一,16,16:00~17:00,95.654,19.245833333333334,76.40816666666666
114-1,星期一,17,17:00~18:00,82.016,14.853846153846156,67.16215384615384
114-1,星期二,7,07:00~08:00,34.56466666666667,14.011538461538462,20.553128205128203
114-1,星期二,8,08:00~09:00,34.916666666666664,18.14538461538461,16.771282051282054
114-1,星期二,9,09:00~10:00,82.98733333333331,23.468461538461536,59.51887179487177
114-1,星期二,10,10:00~11:00,111.19533333333337,24.26384615384615,86.93148717948722
114-1,星期二,11,11:00~12:00,117.152,29.70384615384615,87.44815384615384
114-1,星期二,12,12:00~13:00,114.91066666666664,31.11,83.80066666666664
114-1,星期二,13,13:00~14:00,115.77533333333332,24.340769230769236,91.43456410256408
114-1,星期二,14,14:00~15:00,125.08199999999998,19.536666666666665,105.54533333333332
114-1,星期二,15,15:00~16:00,124.88333333333334,19.8475,105.03583333333334
114-1,星期二,16,16:00~17:00,119.30733333333332,19.245833333333334,100.06149999999998
114-1,星期二,17,17:00~18:00,103.71600000000002,14.853846153846156,88.86215384615386
114-1,星期三,7,07:00~08:00,34.165333333333336,14.011538461538462,20.153794871794872
114-1,星期三,8,08:00~09:00,37.27466666666667,18.14538461538461,19.129282051282058
114-1,星期三,9,09:00~10:00,79.87866666666667,23.468461538461536,56.410205128205135
114-1,星期三,10,10:00~11:00,108.87866666666667,24.26384615384615,84.61482051282053
114-1,星期三,11,11:00~12:00,125.14933333333336,29.70384615384615,95.4454871794872
114-1,星期三,12,12:00~13:00,123.22933333333334,31.11,92.11933333333334
