年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
114-1,星期五,11,11:00~12:00,89.7775,55.012857142857136,34.76464285714287
114-1,星期五,12,12:00~13:00,91.28142857142858,59.64999999999999,31.631428571428586
114-1,星期五,13,13:00~14:00,95.95666666666664,44.81,51.14666666666663
114-1,星期五,14,14:00~15:00,76.26714285714286,44.866,31.401142857142858
114-1,星期五,15,15:00~16:00,85.465,29.492,55.973
114-1,星期五,16,16:00~17:00,65.298,29.18142857142857,36.11657142857143
114-1,星期五,17,17:00~18:00,109.74375,32.85857142857143,76.88517857142858
114-2,星期一,7,07:00~08:00,6.095,9.261666666666668,-3.1666666666666687
114-2,星期一,8,08:00~09:00,57.3725,21.196,36.176500000000004
114-2,星期一,9,09:00~10:00,68.10666666666667,16.833333333333332,51.27333333333334
114-2,星期一,10,10:00~11:00,77.69,42.03333333333334,35.65666666666666
114-2,星期一,11,11:00~12:00,90.376,58.245,32.13100000000001
114-2,星期一,12,12:00~13:00,86.03166666666665,28.14,57.89166666666665
114-2,星期一,13,13:00~14:00,71.27571428571429,78.71,-7.434285714285707
114-2,星期一,14,14:00~15:00,93.43,50.68000000000001,42.75
114-2,星期一,15,15:00~16:00,103.59,78.155,25.435000000000002
114-2,星期一,16,16:00~17:00,108.43857142857142,48.7675,59.67107142857142
114-2,星期一,17,17:00~18:00,116.6542857142857,14.71,101.94428571428571
114-2,星期二,7,07:00~08:00,7.305714285714286,9.261666666666668,-1.9559523809523824
114-2,星期二,8,08:00~09:00,24.826,21.196,3.629999999999999
114-2,星期二,9,09:00~10:00,61.496,16.833333333333332,44.66266666666667
114-2,星期二,10,10:00~11:00,61.943333333333335,42.03333333333334,19.909999999999997
114-2,星期二,11,11:00~12:00,81.065,58.245,22.82
114-2,星期二,12,12:00~13:00,77.48333333333333,28.14,49.343333333333334
114-2,星期二,13,13:00~14:00,81.32,78.71,2.6099999999999994
114-2,星期二,14,14:00~15:00,88.755,50.68000000000001,38.07499999999999
114-2,星期二,15,15:00~16:00,95.36166666666666,78.155,17.206666666666663
114-2,星期二,16,16:00~17:00,84.77499999999999,48.7675,36.00749999999999
114-2,星期二,17,17:00~18:00,104.99833333333332,14.71,90.28833333333333
114-2,星期三,7,07:00~08:00,7.923333333333335,9.261666666666668,-1.3383333333333338
114-2,星期三,8,08:00~09:00,37.164,21.196,15.968
114-2,星期三,9,09:00~10:00,53.485,16.833333333333332,36.65166666666667
114-2,星期三,10,10:00~11:00,70.905,42.03333333333334,28.871666666666663
114-2,星期三,11,11:00~12:00,72.225,58.245,13.979999999999997
114-2,星期三,12,12:00~13:00,64.275,28.14,36.135000000000005
114-2,星期三,13,13:00~14:00,79.73000000000002,78.71,1.0200000000000244
114-2,星期三,14,14:00~15:00,55.19,50.68000000000001,4.509999999999991
114-2,星期三,15,15:00~16:00,77.644,78.155,-0.5109999999999957
114-2,星期三,16,16:00~17:00,85.008,48.7675,36.2405
114-2,星期三,17,17:00~18:00,67.13666666666667,14.71,52.42666666666667
114-2,星期四,7,07:00~08:00,5.536666666666666,9.261666666666668,-3.7250000000000023
114-2,星期四,8,08:00~09:00,54.59333333333333,21.196,33.39733333333332
114-2,星期四,9,09:00~10:00,83.41499999999999,16.833333333333332,66.58166666666666
114-2,星期四,10,10:00~11:00,79.6525,42.03333333333334,37.619166666666665
114-2,星期四,11,11:00~12:00,102.15,58.245,43.90500000000001
114-2,星期四,12,12:00~13:00,105.59,28.14,77.45
114-2,星期四,13,13:00~14:00,73.1225,78.71,-5.5874999999999915
114-2,星期四,14,14:00~15:00,85.45,50.68000000000001,34.769999999999996
114-2,星期四,15,15:00~16:00,118.5225,78.155,40.36749999999999
114-2,星期四,16,16:00~17:00,104.344,48.7675,55.576499999999996
114-2,星期四,17,17:00~18:00,82.63666666666666,14.71,67.92666666666665
114-2,星期五,7,07:00~08:00,7.626666666666666,9.261666666666668,-1.6350000000000025
114-2,星期五,8,08:00~09:00,22.102,21.196,0.9059999999999988
114-2,星期五,9,09:00~10:00,61.35999999999999,16.833333333333332,44.52666666666666
114-2,星期五,10,10:00~11:00,59.69,42.03333333333334,17.65666666666666
114-2,星期五,11,11:00~12:00,68.81333333333333,58.245,10.568333333333335
114-2,星期五,12,12:00~13:00,69.42999999999999,28.14,41.28999999999999
114-2,星期五,13,13:00~14:00,54.18,78.71,-24.529999999999994
114-2,星期五,14,14:00~15:00,56.92,50.68000000000001,6.239999999999995
114-2,星期五,15,15:00~16:00,58.01,78.155,-20.145000000000003
114-2,星期五,16,16:00~17:00,64.36333333333333,48.7675,15.595833333333331
114-2,星期五,17,17:00~18:00,38.78,14.71,24.07
