年度學期,星期,小時,時間區間,平均功率_kW
113-2,星期二,12,12:00~13:00,191.92142857142858
113-2,星期二,13,13:00~14:00,178.18785714285715
113-2,星期二,14,14:00~15:00,202.65357142857147
113-2,星期二,15,15:00~16:00,212.9214285714286
113-2,星期二,16,16:00~17:00,202.28857142857143
113-2,星期二,17,17:00~18:00,183.26785714285714
113-2,星期二,18,18:00~19:00,138.50866666666667
113-2,星期二,19,19:00~20:00,95.78357142857143
113-2,星期二,20,20:00~21:00,86.02133333333333
113-2,星期二,21,21:00~22:00,84.55999999999999
113-2,星期二,22,22:00~23:00,55.02230769230769
113-2,星期二,23,23:00~24:00,49.61785714285714
113-2,星期三,0,00:00~01:00,45.01866666666667
113-2,星期三,1,01:00~02:00,45.287142857142854
113-2,星期三,2,02:00~03:00,44.945
113-2,星期三,3,03:00~04:00,44.302
113-2,星期三,4,04:00~05:00,44.94266666666667
113-2,星期三,5,05:00~06:00,44.356
113-2,星期三,6,06:00~07:00,44.76133333333334
113-2,星期三,7,07:00~08:00,48.202
113-2,星期三,8,08:00~09:00,110.82999999999998
113-2,星期三,9,09:00~10:00,171.46266666666665
113-2,星期三,10,10:00~11:00,181.86214285714286
113-2,星期三,11,11:00~12:00,191.3385714285714
113-2,星期三,12,12:00~13:00,196.94142857142856
113-2,星期三,13,13:00~14:00,173.95214285714283
113-2,星期三,14,14:00~15:00,197.04857142857145
113-2,星期三,15,15:00~16:00,212.38500000000002
113-2,星期三,16,16:00~17:00,206.27
113-2,星期三,17,17:00~18:00,180.09642857142856
113-2,星期三,18,18:00~19:00,142.56866666666667
113-2,星期三,19,19:00~20:00,104.24066666666667
113-2,星期三,20,20:00~21:00,93.19599999999998
113-2,星期三,21,21:00~22:00,82.77600000000001
113-2,星期三,22,22:00~23:00,56.13266666666666
113-2,星期三,23,23:00~24:00,50.64357142857143
113-2,星期四,0,00:00~01:00,45.70866666666667
113-2,星期四,1,01:00~02:00,44.686
113-2,星期四,2,02:00~03:00,45.003571428571426
113-2,星期四,3,03:00~04:00,43.402857142857144
113-2,星期四,4,04:00~05:00,46.491428571428564
113-2,星期四,5,05:00~06:00,44.85000000000001
113-2,星期四,6,06:00~07:00,43.95642857142858
113-2,星期四,7,07:00~08:00,45.5092857142857
113-2,星期四,8,08:00~09:00,122.96071428571429
113-2,星期四,9,09:00~10:00,156.86142857142855
113-2,星期四,10,10:00~11:00,189.12076923076924
113-2,星期四,11,11:00~12:00,205.3871428571429
113-2,星期四,12,12:00~13:00,201.00307692307692
113-2,星期四,13,13:00~14:00,176.60461538461539
113-2,星期四,14,14:00~15:00,211.54714285714286
113-2,星期四,15,15:00~16:00,199.60214285714287
113-2,星期四,16,16:00~17:00,205.03384615384616
113-2,星期四,17,17:00~18:00,168.74785714285713
113-2,星期四,18,18:00~19:00,128.10857142857142
113-2,星期四,19,19:00~20:00,95.35071428571428
113-2,星期四,20,20:00~21:00,84.08928571428571
113-2,星期四,21,21:00~22:00,72.98857142857142
113-2,星期四,22,22:00~23:00,53.60466666666668
113-2,星期四,23,23:00~24:00,49.753571428571426
113-2,星期五,0,00:00~01:00,46.04642857142857
113-2,星期五,1,01:00~02:00,45.57384615384615
113-2,星期五,2,02:00~03:00,44.57071428571429
113-2,星期五,3,03:00~04:00,45.30714285714286
113-2,星期五,4,04:00~05:00,46.940000000000005
113-2,星期五,5,05:00~06:00,44.70428571428572
113-2,星期五,6,06:00~07:00,42.99785714285714
