年度學期,星期,小時,時間區間,平均功率_kW
113-2,星期三,12,12:00~13:00,121.99071428571429
113-2,星期三,13,13:00~14:00,123.144
113-2,星期三,14,14:00~15:00,124.925
113-2,星期三,15,15:00~16:00,132.898
113-2,星期三,16,16:00~17:00,131.298
113-2,星期三,17,17:00~18:00,119.38666666666668
113-2,星期三,18,18:00~19:00,88.55866666666667
113-2,星期三,19,19:00~20:00,41.32076923076923
113-2,星期三,20,20:00~21:00,37.06285714285714
113-2,星期三,21,21:00~22:00,33.47769230769231
113-2,星期三,22,22:00~23:00,34.65857142857143
113-2,星期三,23,23:00~24:00,33.27285714285714
113-2,星期四,0,00:00~01:00,31.439285714285717
113-2,星期四,1,01:00~02:00,31.09357142857143
113-2,星期四,2,02:00~03:00,30.465714285714284
113-2,星期四,3,03:00~04:00,30.601428571428574
113-2,星期四,4,04:00~05:00,31.941428571428577
113-2,星期四,5,05:00~06:00,29.885714285714283
113-2,星期四,6,06:00~07:00,33.92285714285715
113-2,星期四,7,07:00~08:00,41.20499999999999
113-2,星期四,8,08:00~09:00,56.23571428571428
113-2,星期四,9,09:00~10:00,91.40785714285713
113-2,星期四,10,10:00~11:00,115.96785714285716
113-2,星期四,11,11:00~12:00,121.45533333333333
113-2,星期四,12,12:00~13:00,122.08333333333333
113-2,星期四,13,13:00~14:00,122.05533333333334
113-2,星期四,14,14:00~15:00,130.43800000000002
113-2,星期四,15,15:00~16:00,137.334
113-2,星期四,16,16:00~17:00,127.49533333333332
113-2,星期四,17,17:00~18:00,120.16400000000002
113-2,星期四,18,18:00~19:00,92.90933333333332
113-2,星期四,19,19:00~20:00,42.36000000000001
113-2,星期四,20,20:00~21:00,35.760714285714286
113-2,星期四,21,21:00~22:00,33.44466666666667
113-2,星期四,22,22:00~23:00,32.02133333333333
113-2,星期四,23,23:00~24:00,30.477333333333334
113-2,星期五,0,00:00~01:00,30.777142857142856
113-2,星期五,1,01:00~02:00,30.215384615384615
113-2,星期五,2,02:00~03:00,30.73
113-2,星期五,3,03:00~04:00,30.31571428571429
113-2,星期五,4,04:00~05:00,32.213846153846156
113-2,星期五,5,05:00~06:00,30.860000000000007
113-2,星期五,6,06:00~07:00,33.825384615384614
113-2,星期五,7,07:00~08:00,39.04615384615384
