年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-2,星期三,13,13:00~14:00,123.144,66.15428571428572,56.989714285714285
113-2,星期三,14,14:00~15:00,124.925,66.14428571428572,58.78071428571428
113-2,星期三,15,15:00~16:00,132.898,66.63285714285715,66.26514285714285
113-2,星期三,16,16:00~17:00,131.298,68.76214285714285,62.535857142857154
113-2,星期三,17,17:00~18:00,119.38666666666668,47.374615384615375,72.01205128205132
113-2,星期四,7,07:00~08:00,41.20499999999999,31.27384615384616,9.93115384615383
113-2,星期四,8,08:00~09:00,56.23571428571428,69.825,-13.589285714285722
113-2,星期四,9,09:00~10:00,91.40785714285713,63.39428571428572,28.013571428571403
113-2,星期四,10,10:00~11:00,115.96785714285716,64.04214285714285,51.92571428571431
113-2,星期四,11,11:00~12:00,121.45533333333331,69.34214285714286,52.113190476190454
113-2,星期四,12,12:00~13:00,122.08333333333331,74.54785714285713,47.53547619047619
113-2,星期四,13,13:00~14:00,122.05533333333334,66.15428571428572,55.90104761904762
113-2,星期四,14,14:00~15:00,130.43800000000002,66.14428571428572,64.2937142857143
113-2,星期四,15,15:00~16:00,137.334,66.63285714285715,70.70114285714286
113-2,星期四,16,16:00~17:00,127.49533333333332,68.76214285714285,58.73319047619047
113-2,星期四,17,17:00~18:00,120.16400000000002,47.374615384615375,72.78938461538465
113-2,星期五,7,07:00~08:00,39.04615384615384,31.27384615384616,7.772307692307681
113-2,星期五,8,08:00~09:00,51.68615384615384,69.825,-18.13884615384616
113-2,星期五,9,09:00~10:00,88.37285714285713,63.39428571428572,24.978571428571406
113-2,星期五,10,10:00~11:00,99.84285714285714,64.04214285714285,35.80071428571429
113-2,星期五,11,11:00~12:00,119.6792857142857,69.34214285714286,50.33714285714284
113-2,星期五,12,12:00~13:00,120.40571428571428,74.54785714285713,45.857857142857156
113-2,星期五,13,13:00~14:00,107.49642857142857,66.15428571428572,41.342142857142846
113-2,星期五,14,14:00~15:00,103.73642857142856,66.14428571428572,37.592142857142846
113-2,星期五,15,15:00~16:00,101.63642857142855,66.63285714285715,35.003571428571405
113-2,星期五,16,16:00~17:00,87.45785714285715,68.76214285714285,18.695714285714303
113-2,星期五,17,17:00~18:00,71.75214285714287,47.374615384615375,24.377527472527497
114-1,星期一,7,07:00~08:00,75.446,67.23785714285715,8.208142857142846
114-1,星期一,8,08:00~09:00,86.16399999999999,59.52357142857142,26.640428571428565
114-1,星期一,9,09:00~10:00,114.92533333333336,63.057857142857145,51.86747619047621
114-1,星期一,10,10:00~11:00,127.24733333333332,63.77071428571429,63.476619047619025
114-1,星期一,11,11:00~12:00,140.89333333333337,64.08214285714287,76.8111904761905
114-1,星期一,12,12:00~13:00,142.85199999999998,63.560769230769225,79.29123076923075
114-1,星期一,13,13:00~14:00,137.65666666666667,73.95857142857143,63.698095238095235
114-1,星期一,14,14:00~15:00,142.58666666666664,71.52307692307693,71.06358974358972
114-1,星期一,15,15:00~16:00,145.256,68.06307692307692,77.19292307692308
114-1,星期一,16,16:00~17:00,145.81666666666666,67.57846153846154,78.23820512820512
114-1,星期一,17,17:00~18:00,137.26733333333334,56.06857142857143,81.19876190476191
114-1,星期二,7,07:00~08:00,70.76666666666667,67.23785714285715,3.528809523809514
114-1,星期二,8,08:00~09:00,115.056,59.52357142857142,55.532428571428575
114-1,星期二,9,09:00~10:00,147.71866666666668,63.057857142857145,84.66080952380953
114-1,星期二,10,10:00~11:00,155.40266666666668,63.77071428571429,91.63195238095238
114-1,星期二,11,11:00~12:00,152.22333333333333,64.08214285714287,88.14119047619046
114-1,星期二,12,12:00~13:00,150.64,63.560769230769225,87.07923076923076
114-1,星期二,13,13:00~14:00,155.31266666666667,73.95857142857143,81.35409523809524
114-1,星期二,14,14:00~15:00,156.83733333333333,71.52307692307693,85.3142564102564
114-1,星期二,15,15:00~16:00,166.346,68.06307692307692,98.28292307692308
114-1,星期二,16,16:00~17:00,156.09466666666668,67.57846153846154,88.51620512820514
114-1,星期二,17,17:00~18:00,139.5793333333333,56.06857142857143,83.51076190476186
114-1,星期三,7,07:00~08:00,84.82533333333332,67.23785714285715,17.587476190476167
114-1,星期三,8,08:00~09:00,101.92466666666664,59.52357142857142,42.401095238095216
114-1,星期三,9,09:00~10:00,144.4466666666667,63.057857142857145,81.38880952380954
114-1,星期三,10,10:00~11:00,156.62733333333333,63.77071428571429,92.85661904761903
114-1,星期三,11,11:00~12:00,161.8046666666666,64.08214285714287,97.72252380952374
114-1,星期三,12,12:00~13:00,164.55266666666665,63.560769230769225,100.99189743589743
114-1,星期三,13,13:00~14:00,160.3733333333333,73.95857142857143,86.41476190476187
114-1,星期三,14,14:00~15:00,169.97333333333333,71.52307692307693,98.4502564102564
114-1,星期三,15,15:00~16:00,168.6126666666666,68.06307692307692,100.54958974358968
114-1,星期三,16,16:00~17:00,165.61066666666667,67.57846153846154,98.03220512820513
114-1,星期三,17,17:00~18:00,146.882,56.06857142857143,90.81342857142857
114-1,星期四,7,07:00~08:00,72.96083333333333,67.23785714285715,5.7229761904761745
114-1,星期四,8,08:00~09:00,106.95,59.52357142857142,47.42642857142858
114-1,星期四,9,09:00~10:00,130.46076923076924,63.057857142857145,67.4029120879121
114-1,星期四,10,10:00~11:00,141.28076923076924,63.77071428571429,77.51005494505495
114-1,星期四,11,11:00~12:00,155.0123076923077,64.08214285714287,90.93016483516483
114-1,星期四,12,12:00~13:00,149.54066666666668,63.560769230769225,85.97989743589746
114-1,星期四,13,13:00~14:00,149.402,73.95857142857143,75.44342857142856
114-1,星期四,14,14:00~15:00,148.436,71.52307692307693,76.91292307692308
114-1,星期四,15,15:00~16:00,148.79666666666665,68.06307692307692,80.73358974358973
114-1,星期四,16,16:00~17:00,139.832,67.57846153846154,72.25353846153845
114-1,星期四,17,17:00~18:00,128.41199999999998,56.06857142857143,72.34342857142855
114-1,星期五,7,07:00~08:00,77.48071428571428,67.23785714285715,10.242857142857133
114-1,星期五,8,08:00~09:00,90.27214285714284,59.52357142857142,30.748571428571417
114-1,星期五,9,09:00~10:00,116.63714285714283,63.057857142857145,53.57928571428569
114-1,星期五,10,10:00~11:00,128.64857142857142,63.77071428571429,64.87785714285712
114-1,星期五,11,11:00~12:00,127.41714285714284,64.08214285714287,63.334999999999965
114-1,星期五,12,12:00~13:00,125.80785714285712,63.560769230769225,62.24708791208789
114-1,星期五,13,13:00~14:00,123.96866666666664,73.95857142857143,50.010095238095204
114-1,星期五,14,14:00~15:00,128.46666666666667,71.52307692307693,56.94358974358974
114-1,星期五,15,15:00~16:00,128.18733333333336,68.06307692307692,60.124256410256436
114-1,星期五,16,16:00~17:00,112.978,67.57846153846154,45.399538461538455
114-1,星期五,17,17:00~18:00,99.798,56.06857142857143,43.72942857142857
114-2,星期一,7,07:00~08:00,35.74666666666666,36.68375,-0.9370833333333408
114-2,星期一,8,08:00~09:00,52.28666666666666,67.39888888888888,-15.112222222222215
114-2,星期一,9,09:00~10:00,78.7611111111111,67.79666666666668,10.964444444444425
114-2,星期一,10,10:00~11:00,114.45,73.17375,41.276250000000005
114-2,星期一,11,11:00~12:00,122.83875,66.9075,55.931250000000006
114-2,星期一,12,12:00~13:00,126.72875,75.24125000000001,51.4875
114-2,星期一,13,13:00~14:00,113.48666666666668,84.2425,29.244166666666672
114-2,星期一,14,14:00~15:00,132.99875,80.36000000000001,52.63874999999999
114-2,星期一,15,15:00~16:00,134.15375,74.36375,59.790000000000006
